,State,Data Element,Date,Value,Frequency,Region,Description
589,Idaho,Consumer Price Index,2021-11-01,7.7,Monthly,Mountain,Consumer Price Index
590,Montana,Consumer Price Index,2021-11-01,7.7,Monthly,Mountain,Consumer Price Index
591,New Mexico,Consumer Price Index,2021-11-01,7.7,Monthly,Mountain,Consumer Price Index
592,Nevada,Consumer Price Index,2021-11-01,7.7,Monthly,Mountain,Consumer Price Index
593,Utah,Consumer Price Index,2021-11-01,7.7,Monthly,Mountain,Consumer Price Index
594,Wyoming,Consumer Price Index,2021-11-01,7.7,Monthly,Mountain,Consumer Price Index
595,Illinois,Consumer Price Index,2019-01-01,0.8,Monthly,East North Central,Consumer Price Index
596,Indiana,Consumer Price Index,2019-01-01,0.8,Monthly,East North Central,Consumer Price Index
597,Michigan,Consumer Price Index,2019-01-01,0.8,Monthly,East North Central,Consumer Price Index
598,Ohio,Consumer Price Index,2019-01-01,0.8,Monthly,East North Central,Consumer Price Index
599,Wisconsin,Consumer Price Index,2019-01-01,0.8,Monthly,East North Central,Consumer Price Index
600,Illinois,Consumer Price Index,2019-02-01,1.4,Monthly,East North Central,Consumer Price Index
601,Indiana,Consumer Price Index,2019-02-01,1.4,Monthly,East North Central,Consumer Price Index
602,Michigan,Consumer Price Index,2019-02-01,1.4,Monthly,East North Central,Consumer Price Index
603,Ohio,Consumer Price Index,2019-02-01,1.4,Monthly,East North Central,Consumer Price Index
604,Wisconsin,Consumer Price Index,2019-02-01,1.4,Monthly,East North Central,Consumer Price Index
605,Illinois,Consumer Price Index,2019-03-01,1.7,Monthly,East North Central,Consumer Price Index
606,Indiana,Consumer Price Index,2019-03-01,1.7,Monthly,East North Central,Consumer Price Index
607,Michigan,Consumer Price Index,2019-03-01,1.7,Monthly,East North Central,Consumer Price Index
608,Ohio,Consumer Price Index,2019-03-01,1.7,Monthly,East North Central,Consumer Price Index
609,Wisconsin,Consumer Price Index,2019-03-01,1.7,Monthly,East North Central,Consumer Price Index
610,Illinois,Consumer Price Index,2019-04-01,1.5,Monthly,East North Central,Consumer Price Index
611,Indiana,Consumer Price Index,2019-04-01,1.5,Monthly,East North Central,Consumer Price Index
612,Michigan,Consumer Price Index,2019-04-01,1.5,Monthly,East North Central,Consumer Price Index
613,Ohio,Consumer Price Index,2019-04-01,1.5,Monthly,East North Central,Consumer Price Index
614,Wisconsin,Consumer Price Index,2019-04-01,1.5,Monthly,East North Central,Consumer Price Index
615,Illinois,Consumer Price Index,2019-05-01,1.3,Monthly,East North Central,Consumer Price Index
616,Indiana,Consumer Price Index,2019-05-01,1.3,Monthly,East North Central,Consumer Price Index
617,Michigan,Consumer Price Index,2019-05-01,1.3,Monthly,East North Central,Consumer Price Index
618,Ohio,Consumer Price Index,2019-05-01,1.3,Monthly,East North Central,Consumer Price Index
619,Wisconsin,Consumer Price Index,2019-05-01,1.3,Monthly,East North Central,Consumer Price Index
620,Illinois,Consumer Price Index,2019-06-01,1.2,Monthly,East North Central,Consumer Price Index
621,Indiana,Consumer Price Index,2019-06-01,1.2,Monthly,East North Central,Consumer Price Index
622,Michigan,Consumer Price Index,2019-06-01,1.2,Monthly,East North Central,Consumer Price Index
623,Ohio,Consumer Price Index,2019-06-01,1.2,Monthly,East North Central,Consumer Price Index
624,Wisconsin,Consumer Price Index,2019-06-01,1.2,Monthly,East North Central,Consumer Price Index
625,Illinois,Consumer Price Index,2019-07-01,1.6,Monthly,East North Central,Consumer Price Index
626,Indiana,Consumer Price Index,2019-07-01,1.6,Monthly,East North Central,Consumer Price Index
627,Michigan,Consumer Price Index,2019-07-01,1.6,Monthly,East North Central,Consumer Price Index
628,Ohio,Consumer Price Index,2019-07-01,1.6,Monthly,East North Central,Consumer Price Index
629,Wisconsin,Consumer Price Index,2019-07-01,1.6,Monthly,East North Central,Consumer Price Index
630,Illinois,Consumer Price Index,2019-08-01,1.7,Monthly,East North Central,Consumer Price Index
631,Indiana,Consumer Price Index,2019-08-01,1.7,Monthly,East North Central,Consumer Price Index
632,Michigan,Consumer Price Index,2019-08-01,1.7,Monthly,East North Central,Consumer Price Index
633,Ohio,Consumer Price Index,2019-08-01,1.7,Monthly,East North Central,Consumer Price Index
634,Wisconsin,Consumer Price Index,2019-08-01,1.7,Monthly,East North Central,Consumer Price Index
635,Illinois,Consumer Price Index,2019-09-01,1.6,Monthly,East North Central,Consumer Price Index
636,Indiana,Consumer Price Index,2019-09-01,1.6,Monthly,East North Central,Consumer Price Index
637,Michigan,Consumer Price Index,2019-09-01,1.6,Monthly,East North Central,Consumer Price Index
638,Ohio,Consumer Price Index,2019-09-01,1.6,Monthly,East North Central,Consumer Price Index
639,Wisconsin,Consumer Price Index,2019-09-01,1.6,Monthly,East North Central,Consumer Price Index
640,Illinois,Consumer Price Index,2019-10-01,1.8,Monthly,East North Central,Consumer Price Index
641,Indiana,Consumer Price Index,2019-10-01,1.8,Monthly,East North Central,Consumer Price Index
642,Michigan,Consumer Price Index,2019-10-01,1.8,Monthly,East North Central,Consumer Price Index
643,Ohio,Consumer Price Index,2019-10-01,1.8,Monthly,East North Central,Consumer Price Index
644,Wisconsin,Consumer Price Index,2019-10-01,1.8,Monthly,East North Central,Consumer Price Index
645,Illinois,Consumer Price Index,2019-11-01,2.0,Monthly,East North Central,Consumer Price Index
646,Indiana,Consumer Price Index,2019-11-01,2.0,Monthly,East North Central,Consumer Price Index
647,Michigan,Consumer Price Index,2019-11-01,2.0,Monthly,East North Central,Consumer Price Index
648,Ohio,Consumer Price Index,2019-11-01,2.0,Monthly,East North Central,Consumer Price Index
649,Wisconsin,Consumer Price Index,2019-11-01,2.0,Monthly,East North Central,Consumer Price Index
650,Illinois,Consumer Price Index,2019-12-01,2.4,Monthly,East North Central,Consumer Price Index
651,Indiana,Consumer Price Index,2019-12-01,2.4,Monthly,East North Central,Consumer Price Index
652,Michigan,Consumer Price Index,2019-12-01,2.4,Monthly,East North Central,Consumer Price Index
653,Ohio,Consumer Price Index,2019-12-01,2.4,Monthly,East North Central,Consumer Price Index
654,Wisconsin,Consumer Price Index,2019-12-01,2.4,Monthly,East North Central,Consumer Price Index
655,Illinois,Consumer Price Index,2020-01-01,2.6,Monthly,East North Central,Consumer Price Index
656,Indiana,Consumer Price Index,2020-01-01,2.6,Monthly,East North Central,Consumer Price Index
657,Michigan,Consumer Price Index,2020-01-01,2.6,Monthly,East North Central,Consumer Price Index
658,Ohio,Consumer Price Index,2020-01-01,2.6,Monthly,East North Central,Consumer Price Index
659,Wisconsin,Consumer Price Index,2020-01-01,2.6,Monthly,East North Central,Consumer Price Index
660,Illinois,Consumer Price Index,2020-02-01,2.0,Monthly,East North Central,Consumer Price Index
661,Indiana,Consumer Price Index,2020-02-01,2.0,Monthly,East North Central,Consumer Price Index
662,Michigan,Consumer Price Index,2020-02-01,2.0,Monthly,East North Central,Consumer Price Index
663,Ohio,Consumer Price Index,2020-02-01,2.0,Monthly,East North Central,Consumer Price Index
664,Wisconsin,Consumer Price Index,2020-02-01,2.0,Monthly,East North Central,Consumer Price Index
665,Illinois,Consumer Price Index,2020-03-01,1.0,Monthly,East North Central,Consumer Price Index
666,Indiana,Consumer Price Index,2020-03-01,1.0,Monthly,East North Central,Consumer Price Index
667,Michigan,Consumer Price Index,2020-03-01,1.0,Monthly,East North Central,Consumer Price Index
668,Ohio,Consumer Price Index,2020-03-01,1.0,Monthly,East North Central,Consumer Price Index
669,Wisconsin,Consumer Price Index,2020-03-01,1.0,Monthly,East North Central,Consumer Price Index
670,Illinois,Consumer Price Index,2020-04-01,-0.5,Monthly,East North Central,Consumer Price Index
671,Indiana,Consumer Price Index,2020-04-01,-0.5,Monthly,East North Central,Consumer Price Index
672,Michigan,Consumer Price Index,2020-04-01,-0.5,Monthly,East North Central,Consumer Price Index
673,Ohio,Consumer Price Index,2020-04-01,-0.5,Monthly,East North Central,Consumer Price Index
674,Wisconsin,Consumer Price Index,2020-04-01,-0.5,Monthly,East North Central,Consumer Price Index
675,Illinois,Consumer Price Index,2020-05-01,-0.3,Monthly,East North Central,Consumer Price Index
676,Indiana,Consumer Price Index,2020-05-01,-0.3,Monthly,East North Central,Consumer Price Index
677,Michigan,Consumer Price Index,2020-05-01,-0.3,Monthly,East North Central,Consumer Price Index
678,Ohio,Consumer Price Index,2020-05-01,-0.3,Monthly,East North Central,Consumer Price Index
679,Wisconsin,Consumer Price Index,2020-05-01,-0.3,Monthly,East North Central,Consumer Price Index
680,Illinois,Consumer Price Index,2020-06-01,0.5,Monthly,East North Central,Consumer Price Index
681,Indiana,Consumer Price Index,2020-06-01,0.5,Monthly,East North Central,Consumer Price Index
682,Michigan,Consumer Price Index,2020-06-01,0.5,Monthly,East North Central,Consumer Price Index
683,Ohio,Consumer Price Index,2020-06-01,0.5,Monthly,East North Central,Consumer Price Index
684,Wisconsin,Consumer Price Index,2020-06-01,0.5,Monthly,East North Central,Consumer Price Index
685,Illinois,Consumer Price Index,2020-07-01,0.8,Monthly,East North Central,Consumer Price Index
686,Indiana,Consumer Price Index,2020-07-01,0.8,Monthly,East North Central,Consumer Price Index
687,Michigan,Consumer Price Index,2020-07-01,0.8,Monthly,East North Central,Consumer Price Index
688,Ohio,Consumer Price Index,2020-07-01,0.8,Monthly,East North Central,Consumer Price Index
689,Wisconsin,Consumer Price Index,2020-07-01,0.8,Monthly,East North Central,Consumer Price Index
690,Illinois,Consumer Price Index,2020-08-01,1.2,Monthly,East North Central,Consumer Price Index
691,Indiana,Consumer Price Index,2020-08-01,1.2,Monthly,East North Central,Consumer Price Index
692,Michigan,Consumer Price Index,2020-08-01,1.2,Monthly,East North Central,Consumer Price Index
693,Ohio,Consumer Price Index,2020-08-01,1.2,Monthly,East North Central,Consumer Price Index
694,Wisconsin,Consumer Price Index,2020-08-01,1.2,Monthly,East North Central,Consumer Price Index
695,Illinois,Consumer Price Index,2020-09-01,1.2,Monthly,East North Central,Consumer Price Index
696,Indiana,Consumer Price Index,2020-09-01,1.2,Monthly,East North Central,Consumer Price Index
697,Michigan,Consumer Price Index,2020-09-01,1.2,Monthly,East North Central,Consumer Price Index
698,Ohio,Consumer Price Index,2020-09-01,1.2,Monthly,East North Central,Consumer Price Index
699,Wisconsin,Consumer Price Index,2020-09-01,1.2,Monthly,East North Central,Consumer Price Index
700,Illinois,Consumer Price Index,2020-10-01,0.9,Monthly,East North Central,Consumer Price Index
701,Indiana,Consumer Price Index,2020-10-01,0.9,Monthly,East North Central,Consumer Price Index
702,Michigan,Consumer Price Index,2020-10-01,0.9,Monthly,East North Central,Consumer Price Index
703,Ohio,Consumer Price Index,2020-10-01,0.9,Monthly,East North Central,Consumer Price Index
704,Wisconsin,Consumer Price Index,2020-10-01,0.9,Monthly,East North Central,Consumer Price Index
705,Illinois,Consumer Price Index,2020-11-01,0.8,Monthly,East North Central,Consumer Price Index
706,Indiana,Consumer Price Index,2020-11-01,0.8,Monthly,East North Central,Consumer Price Index
707,Michigan,Consumer Price Index,2020-11-01,0.8,Monthly,East North Central,Consumer Price Index
708,Ohio,Consumer Price Index,2020-11-01,0.8,Monthly,East North Central,Consumer Price Index
709,Wisconsin,Consumer Price Index,2020-11-01,0.8,Monthly,East North Central,Consumer Price Index
710,Illinois,Consumer Price Index,2020-12-01,0.8,Monthly,East North Central,Consumer Price Index
711,Indiana,Consumer Price Index,2020-12-01,0.8,Monthly,East North Central,Consumer Price Index
712,Michigan,Consumer Price Index,2020-12-01,0.8,Monthly,East North Central,Consumer Price Index
713,Ohio,Consumer Price Index,2020-12-01,0.8,Monthly,East North Central,Consumer Price Index
714,Wisconsin,Consumer Price Index,2020-12-01,0.8,Monthly,East North Central,Consumer Price Index
715,Illinois,Consumer Price Index,2021-01-01,0.9,Monthly,East North Central,Consumer Price Index
716,Indiana,Consumer Price Index,2021-01-01,0.9,Monthly,East North Central,Consumer Price Index
717,Michigan,Consumer Price Index,2021-01-01,0.9,Monthly,East North Central,Consumer Price Index
718,Ohio,Consumer Price Index,2021-01-01,0.9,Monthly,East North Central,Consumer Price Index
719,Wisconsin,Consumer Price Index,2021-01-01,0.9,Monthly,East North Central,Consumer Price Index
720,Illinois,Consumer Price Index,2021-02-01,1.6,Monthly,East North Central,Consumer Price Index
721,Indiana,Consumer Price Index,2021-02-01,1.6,Monthly,East North Central,Consumer Price Index
722,Michigan,Consumer Price Index,2021-02-01,1.6,Monthly,East North Central,Consumer Price Index
723,Ohio,Consumer Price Index,2021-02-01,1.6,Monthly,East North Central,Consumer Price Index
724,Wisconsin,Consumer Price Index,2021-02-01,1.6,Monthly,East North Central,Consumer Price Index
725,Illinois,Consumer Price Index,2021-03-01,2.8,Monthly,East North Central,Consumer Price Index
726,Indiana,Consumer Price Index,2021-03-01,2.8,Monthly,East North Central,Consumer Price Index
727,Michigan,Consumer Price Index,2021-03-01,2.8,Monthly,East North Central,Consumer Price Index
728,Ohio,Consumer Price Index,2021-03-01,2.8,Monthly,East North Central,Consumer Price Index
729,Wisconsin,Consumer Price Index,2021-03-01,2.8,Monthly,East North Central,Consumer Price Index
730,Illinois,Consumer Price Index,2021-04-01,4.9,Monthly,East North Central,Consumer Price Index
731,Indiana,Consumer Price Index,2021-04-01,4.9,Monthly,East North Central,Consumer Price Index
732,Michigan,Consumer Price Index,2021-04-01,4.9,Monthly,East North Central,Consumer Price Index
733,Ohio,Consumer Price Index,2021-04-01,4.9,Monthly,East North Central,Consumer Price Index
734,Wisconsin,Consumer Price Index,2021-04-01,4.9,Monthly,East North Central,Consumer Price Index
735,Illinois,Consumer Price Index,2021-05-01,5.5,Monthly,East North Central,Consumer Price Index
736,Indiana,Consumer Price Index,2021-05-01,5.5,Monthly,East North Central,Consumer Price Index
737,Michigan,Consumer Price Index,2021-05-01,5.5,Monthly,East North Central,Consumer Price Index
738,Ohio,Consumer Price Index,2021-05-01,5.5,Monthly,East North Central,Consumer Price Index
739,Wisconsin,Consumer Price Index,2021-05-01,5.5,Monthly,East North Central,Consumer Price Index
740,Illinois,Consumer Price Index,2021-06-01,5.5,Monthly,East North Central,Consumer Price Index
741,Indiana,Consumer Price Index,2021-06-01,5.5,Monthly,East North Central,Consumer Price Index
742,Michigan,Consumer Price Index,2021-06-01,5.5,Monthly,East North Central,Consumer Price Index
743,Ohio,Consumer Price Index,2021-06-01,5.5,Monthly,East North Central,Consumer Price Index
744,Wisconsin,Consumer Price Index,2021-06-01,5.5,Monthly,East North Central,Consumer Price Index
745,Illinois,Consumer Price Index,2021-07-01,5.6,Monthly,East North Central,Consumer Price Index
746,Indiana,Consumer Price Index,2021-07-01,5.6,Monthly,East North Central,Consumer Price Index
747,Michigan,Consumer Price Index,2021-07-01,5.6,Monthly,East North Central,Consumer Price Index
748,Ohio,Consumer Price Index,2021-07-01,5.6,Monthly,East North Central,Consumer Price Index
749,Wisconsin,Consumer Price Index,2021-07-01,5.6,Monthly,East North Central,Consumer Price Index
750,Illinois,Consumer Price Index,2021-08-01,5.3,Monthly,East North Central,Consumer Price Index
751,Indiana,Consumer Price Index,2021-08-01,5.3,Monthly,East North Central,Consumer Price Index
752,Michigan,Consumer Price Index,2021-08-01,5.3,Monthly,East North Central,Consumer Price Index
753,Ohio,Consumer Price Index,2021-08-01,5.3,Monthly,East North Central,Consumer Price Index
754,Wisconsin,Consumer Price Index,2021-08-01,5.3,Monthly,East North Central,Consumer Price Index
755,Illinois,Consumer Price Index,2021-09-01,5.4,Monthly,East North Central,Consumer Price Index
756,Indiana,Consumer Price Index,2021-09-01,5.4,Monthly,East North Central,Consumer Price Index
757,Michigan,Consumer Price Index,2021-09-01,5.4,Monthly,East North Central,Consumer Price Index
758,Ohio,Consumer Price Index,2021-09-01,5.4,Monthly,East North Central,Consumer Price Index
759,Wisconsin,Consumer Price Index,2021-09-01,5.4,Monthly,East North Central,Consumer Price Index
760,Illinois,Consumer Price Index,2021-10-01,6.3,Monthly,East North Central,Consumer Price Index
761,Indiana,Consumer Price Index,2021-10-01,6.3,Monthly,East North Central,Consumer Price Index
762,Michigan,Consumer Price Index,2021-10-01,6.3,Monthly,East North Central,Consumer Price Index
763,Ohio,Consumer Price Index,2021-10-01,6.3,Monthly,East North Central,Consumer Price Index
764,Wisconsin,Consumer Price Index,2021-10-01,6.3,Monthly,East North Central,Consumer Price Index
765,Illinois,Consumer Price Index,2021-11-01,7.2,Monthly,East North Central,Consumer Price Index
766,Indiana,Consumer Price Index,2021-11-01,7.2,Monthly,East North Central,Consumer Price Index
767,Michigan,Consumer Price Index,2021-11-01,7.2,Monthly,East North Central,Consumer Price Index
768,Ohio,Consumer Price Index,2021-11-01,7.2,Monthly,East North Central,Consumer Price Index
769,Wisconsin,Consumer Price Index,2021-11-01,7.2,Monthly,East North Central,Consumer Price Index
770,Connecticut,Consumer Price Index,2019-01-01,2.0,Monthly,New England,Consumer Price Index
771,Massachusetts,Consumer Price Index,2019-01-01,2.0,Monthly,New England,Consumer Price Index
772,Maine,Consumer Price Index,2019-01-01,2.0,Monthly,New England,Consumer Price Index
773,New Hampshire,Consumer Price Index,2019-01-01,2.0,Monthly,New England,Consumer Price Index
774,Rhode Island,Consumer Price Index,2019-01-01,2.0,Monthly,New England,Consumer Price Index
775,Vermont,Consumer Price Index,2019-01-01,2.0,Monthly,New England,Consumer Price Index
776,Connecticut,Consumer Price Index,2019-02-01,1.6,Monthly,New England,Consumer Price Index
777,Massachusetts,Consumer Price Index,2019-02-01,1.6,Monthly,New England,Consumer Price Index
778,Maine,Consumer Price Index,2019-02-01,1.6,Monthly,New England,Consumer Price Index
779,New Hampshire,Consumer Price Index,2019-02-01,1.6,Monthly,New England,Consumer Price Index
780,Rhode Island,Consumer Price Index,2019-02-01,1.6,Monthly,New England,Consumer Price Index
781,Vermont,Consumer Price Index,2019-02-01,1.6,Monthly,New England,Consumer Price Index
782,Connecticut,Consumer Price Index,2019-03-01,2.1,Monthly,New England,Consumer Price Index
783,Massachusetts,Consumer Price Index,2019-03-01,2.1,Monthly,New England,Consumer Price Index
784,Maine,Consumer Price Index,2019-03-01,2.1,Monthly,New England,Consumer Price Index
785,New Hampshire,Consumer Price Index,2019-03-01,2.1,Monthly,New England,Consumer Price Index
786,Rhode Island,Consumer Price Index,2019-03-01,2.1,Monthly,New England,Consumer Price Index
787,Vermont,Consumer Price Index,2019-03-01,2.1,Monthly,New England,Consumer Price Index
788,Connecticut,Consumer Price Index,2019-04-01,2.1,Monthly,New England,Consumer Price Index
789,Massachusetts,Consumer Price Index,2019-04-01,2.1,Monthly,New England,Consumer Price Index
790,Maine,Consumer Price Index,2019-04-01,2.1,Monthly,New England,Consumer Price Index
791,New Hampshire,Consumer Price Index,2019-04-01,2.1,Monthly,New England,Consumer Price Index
792,Rhode Island,Consumer Price Index,2019-04-01,2.1,Monthly,New England,Consumer Price Index
793,Vermont,Consumer Price Index,2019-04-01,2.1,Monthly,New England,Consumer Price Index
794,Connecticut,Consumer Price Index,2019-05-01,1.9,Monthly,New England,Consumer Price Index
795,Massachusetts,Consumer Price Index,2019-05-01,1.9,Monthly,New England,Consumer Price Index
796,Maine,Consumer Price Index,2019-05-01,1.9,Monthly,New England,Consumer Price Index
797,New Hampshire,Consumer Price Index,2019-05-01,1.9,Monthly,New England,Consumer Price Index
798,Rhode Island,Consumer Price Index,2019-05-01,1.9,Monthly,New England,Consumer Price Index
799,Vermont,Consumer Price Index,2019-05-01,1.9,Monthly,New England,Consumer Price Index
800,Connecticut,Consumer Price Index,2019-06-01,1.9,Monthly,New England,Consumer Price Index
801,Massachusetts,Consumer Price Index,2019-06-01,1.9,Monthly,New England,Consumer Price Index
802,Maine,Consumer Price Index,2019-06-01,1.9,Monthly,New England,Consumer Price Index
803,New Hampshire,Consumer Price Index,2019-06-01,1.9,Monthly,New England,Consumer Price Index
804,Rhode Island,Consumer Price Index,2019-06-01,1.9,Monthly,New England,Consumer Price Index
805,Vermont,Consumer Price Index,2019-06-01,1.9,Monthly,New England,Consumer Price Index
806,Connecticut,Consumer Price Index,2019-07-01,1.8,Monthly,New England,Consumer Price Index
807,Massachusetts,Consumer Price Index,2019-07-01,1.8,Monthly,New England,Consumer Price Index
808,Maine,Consumer Price Index,2019-07-01,1.8,Monthly,New England,Consumer Price Index
809,New Hampshire,Consumer Price Index,2019-07-01,1.8,Monthly,New England,Consumer Price Index
810,Rhode Island,Consumer Price Index,2019-07-01,1.8,Monthly,New England,Consumer Price Index
811,Vermont,Consumer Price Index,2019-07-01,1.8,Monthly,New England,Consumer Price Index
812,Connecticut,Consumer Price Index,2019-08-01,2.0,Monthly,New England,Consumer Price Index
813,Massachusetts,Consumer Price Index,2019-08-01,2.0,Monthly,New England,Consumer Price Index
814,Maine,Consumer Price Index,2019-08-01,2.0,Monthly,New England,Consumer Price Index
815,New Hampshire,Consumer Price Index,2019-08-01,2.0,Monthly,New England,Consumer Price Index
816,Rhode Island,Consumer Price Index,2019-08-01,2.0,Monthly,New England,Consumer Price Index
817,Vermont,Consumer Price Index,2019-08-01,2.0,Monthly,New England,Consumer Price Index
818,Connecticut,Consumer Price Index,2019-09-01,1.8,Monthly,New England,Consumer Price Index
819,Massachusetts,Consumer Price Index,2019-09-01,1.8,Monthly,New England,Consumer Price Index
820,Maine,Consumer Price Index,2019-09-01,1.8,Monthly,New England,Consumer Price Index
821,New Hampshire,Consumer Price Index,2019-09-01,1.8,Monthly,New England,Consumer Price Index
822,Rhode Island,Consumer Price Index,2019-09-01,1.8,Monthly,New England,Consumer Price Index
823,Vermont,Consumer Price Index,2019-09-01,1.8,Monthly,New England,Consumer Price Index
824,Connecticut,Consumer Price Index,2019-10-01,1.6,Monthly,New England,Consumer Price Index
825,Massachusetts,Consumer Price Index,2019-10-01,1.6,Monthly,New England,Consumer Price Index
826,Maine,Consumer Price Index,2019-10-01,1.6,Monthly,New England,Consumer Price Index
827,New Hampshire,Consumer Price Index,2019-10-01,1.6,Monthly,New England,Consumer Price Index
828,Rhode Island,Consumer Price Index,2019-10-01,1.6,Monthly,New England,Consumer Price Index
829,Vermont,Consumer Price Index,2019-10-01,1.6,Monthly,New England,Consumer Price Index
830,Connecticut,Consumer Price Index,2019-11-01,2.2,Monthly,New England,Consumer Price Index
831,Massachusetts,Consumer Price Index,2019-11-01,2.2,Monthly,New England,Consumer Price Index
832,Maine,Consumer Price Index,2019-11-01,2.2,Monthly,New England,Consumer Price Index
833,New Hampshire,Consumer Price Index,2019-11-01,2.2,Monthly,New England,Consumer Price Index
834,Rhode Island,Consumer Price Index,2019-11-01,2.2,Monthly,New England,Consumer Price Index
835,Vermont,Consumer Price Index,2019-11-01,2.2,Monthly,New England,Consumer Price Index
836,Connecticut,Consumer Price Index,2019-12-01,2.1,Monthly,New England,Consumer Price Index
837,Massachusetts,Consumer Price Index,2019-12-01,2.1,Monthly,New England,Consumer Price Index
838,Maine,Consumer Price Index,2019-12-01,2.1,Monthly,New England,Consumer Price Index
839,New Hampshire,Consumer Price Index,2019-12-01,2.1,Monthly,New England,Consumer Price Index
840,Rhode Island,Consumer Price Index,2019-12-01,2.1,Monthly,New England,Consumer Price Index
841,Vermont,Consumer Price Index,2019-12-01,2.1,Monthly,New England,Consumer Price Index
842,Connecticut,Consumer Price Index,2020-01-01,2.2,Monthly,New England,Consumer Price Index
843,Massachusetts,Consumer Price Index,2020-01-01,2.2,Monthly,New England,Consumer Price Index
844,Maine,Consumer Price Index,2020-01-01,2.2,Monthly,New England,Consumer Price Index
845,New Hampshire,Consumer Price Index,2020-01-01,2.2,Monthly,New England,Consumer Price Index
846,Rhode Island,Consumer Price Index,2020-01-01,2.2,Monthly,New England,Consumer Price Index
847,Vermont,Consumer Price Index,2020-01-01,2.2,Monthly,New England,Consumer Price Index
848,Connecticut,Consumer Price Index,2020-02-01,2.5,Monthly,New England,Consumer Price Index
849,Massachusetts,Consumer Price Index,2020-02-01,2.5,Monthly,New England,Consumer Price Index
850,Maine,Consumer Price Index,2020-02-01,2.5,Monthly,New England,Consumer Price Index
851,New Hampshire,Consumer Price Index,2020-02-01,2.5,Monthly,New England,Consumer Price Index
852,Rhode Island,Consumer Price Index,2020-02-01,2.5,Monthly,New England,Consumer Price Index
853,Vermont,Consumer Price Index,2020-02-01,2.5,Monthly,New England,Consumer Price Index
854,Connecticut,Consumer Price Index,2020-03-01,1.5,Monthly,New England,Consumer Price Index
855,Massachusetts,Consumer Price Index,2020-03-01,1.5,Monthly,New England,Consumer Price Index
856,Maine,Consumer Price Index,2020-03-01,1.5,Monthly,New England,Consumer Price Index
857,New Hampshire,Consumer Price Index,2020-03-01,1.5,Monthly,New England,Consumer Price Index
858,Rhode Island,Consumer Price Index,2020-03-01,1.5,Monthly,New England,Consumer Price Index
859,Vermont,Consumer Price Index,2020-03-01,1.5,Monthly,New England,Consumer Price Index
860,Connecticut,Consumer Price Index,2020-04-01,0.7,Monthly,New England,Consumer Price Index
861,Massachusetts,Consumer Price Index,2020-04-01,0.7,Monthly,New England,Consumer Price Index
862,Maine,Consumer Price Index,2020-04-01,0.7,Monthly,New England,Consumer Price Index
863,New Hampshire,Consumer Price Index,2020-04-01,0.7,Monthly,New England,Consumer Price Index
864,Rhode Island,Consumer Price Index,2020-04-01,0.7,Monthly,New England,Consumer Price Index
865,Vermont,Consumer Price Index,2020-04-01,0.7,Monthly,New England,Consumer Price Index
866,Connecticut,Consumer Price Index,2020-05-01,-0.1,Monthly,New England,Consumer Price Index
867,Massachusetts,Consumer Price Index,2020-05-01,-0.1,Monthly,New England,Consumer Price Index
868,Maine,Consumer Price Index,2020-05-01,-0.1,Monthly,New England,Consumer Price Index
869,New Hampshire,Consumer Price Index,2020-05-01,-0.1,Monthly,New England,Consumer Price Index
870,Rhode Island,Consumer Price Index,2020-05-01,-0.1,Monthly,New England,Consumer Price Index
871,Vermont,Consumer Price Index,2020-05-01,-0.1,Monthly,New England,Consumer Price Index
872,Connecticut,Consumer Price Index,2020-06-01,0.4,Monthly,New England,Consumer Price Index
873,Massachusetts,Consumer Price Index,2020-06-01,0.4,Monthly,New England,Consumer Price Index
874,Maine,Consumer Price Index,2020-06-01,0.4,Monthly,New England,Consumer Price Index
875,New Hampshire,Consumer Price Index,2020-06-01,0.4,Monthly,New England,Consumer Price Index
876,Rhode Island,Consumer Price Index,2020-06-01,0.4,Monthly,New England,Consumer Price Index
877,Vermont,Consumer Price Index,2020-06-01,0.4,Monthly,New England,Consumer Price Index
878,Connecticut,Consumer Price Index,2020-07-01,0.5,Monthly,New England,Consumer Price Index
879,Massachusetts,Consumer Price Index,2020-07-01,0.5,Monthly,New England,Consumer Price Index
880,Maine,Consumer Price Index,2020-07-01,0.5,Monthly,New England,Consumer Price Index
881,New Hampshire,Consumer Price Index,2020-07-01,0.5,Monthly,New England,Consumer Price Index
882,Rhode Island,Consumer Price Index,2020-07-01,0.5,Monthly,New England,Consumer Price Index
883,Vermont,Consumer Price Index,2020-07-01,0.5,Monthly,New England,Consumer Price Index
884,Connecticut,Consumer Price Index,2020-08-01,0.7,Monthly,New England,Consumer Price Index
885,Massachusetts,Consumer Price Index,2020-08-01,0.7,Monthly,New England,Consumer Price Index
886,Maine,Consumer Price Index,2020-08-01,0.7,Monthly,New England,Consumer Price Index
887,New Hampshire,Consumer Price Index,2020-08-01,0.7,Monthly,New England,Consumer Price Index
888,Rhode Island,Consumer Price Index,2020-08-01,0.7,Monthly,New England,Consumer Price Index
889,Vermont,Consumer Price Index,2020-08-01,0.7,Monthly,New England,Consumer Price Index
890,Connecticut,Consumer Price Index,2020-09-01,0.6,Monthly,New England,Consumer Price Index
891,Massachusetts,Consumer Price Index,2020-09-01,0.6,Monthly,New England,Consumer Price Index
892,Maine,Consumer Price Index,2020-09-01,0.6,Monthly,New England,Consumer Price Index
